,AVAIL,CPUS,TMP_DISK,FEATURES,GROUPS,SHARE,TIMELIMIT,MEMORY,HOSTNAMES,NODE_ADDR,PRIORITY,ROOT,JOB_SIZE,STATE,USER,VERSION,WEIGHT,S:C:T,NODES(A/I) ,MAX_CPUS_PER_NODE ,CPUS(A/I/O/T) ,NODES ,REASON ,NODES(A/I/O/T) ,GRES ,TIMESTAMP ,DEFAULTTIME ,PREEMPT_MODE ,NODELIST ,CPU_LOAD ,PARTITION ,PARTITION .1,ALLOCNODES ,STATE ,USER ,SOCKETS ,CORES ,THREADS 
20,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-10b,udc-ba38-10b,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T18:40:02 ,5:00:00 ,OFF ,udc-ba38-10b ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
21,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-10c,udc-ba38-10c,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T17:20:02 ,5:00:00 ,OFF ,udc-ba38-10c ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
22,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-16g,udc-ba38-16g,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T22:35:02 ,5:00:00 ,OFF ,udc-ba38-16g ,0.18 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
23,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-16h,udc-ba38-16h,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T23:05:01 ,5:00:00 ,OFF ,udc-ba38-16h ,0.20 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
24,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-16i,udc-ba38-16i,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T21:45:02 ,5:00:00 ,OFF ,udc-ba38-16i ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
25,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-22b,udc-ba38-22b,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-04T00:10:01 ,5:00:00 ,OFF ,udc-ba38-22b ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
26,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-22d,udc-ba38-22d,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T20:55:02 ,5:00:00 ,OFF ,udc-ba38-22d ,0.00 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
27,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-22e,udc-ba38-22e,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T23:35:02 ,5:00:00 ,OFF ,udc-ba38-22e ,0.10 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
28,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-22f,udc-ba38-22f,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-22]cache ,1/0/0/1 ,(null) ,2017-03-03T11:35:02 ,5:00:00 ,OFF ,udc-ba38-22f ,0.20 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
29,up,20,0,(null),serial,NO,7-00:00:00,127000,udc-ba38-28b,udc-ba38-28b,1,no,1,drng,root,14.11,1,20:1:1,1/0 ,UNLIMITED ,20/0/0/20 ,1,[-20]zombies! ,1/0/0/1 ,(null) ,2017-03-03T10:00:03 ,5:00:00 ,OFF ,udc-ba38-28b ,2.10 ,serial ,serial ,all ,draining ,root(0) ,20,1,1
